Белок,Общие липиды (жиры),Углеводы,Энергия,Общие сахара,Пищевые волокна,"Натрий, Na"
1.48,13.9,12.2,172.0,8.89,2.1,86.0
0.32,3.08,22.7,113.0,19.0,2.5,4.0
1.34,2.15,29.6,134.0,24.2,1.8,62.0
0.93,0.32,65.9,243.0,57.2,8.7,87.0
0.17,0.15,14.8,61.0,12.1,2.1,0.0
26.8,9.08,0.0,189.0,,,604.0
19.6,16.2,18.0,1240.0,,1.0,740.0
19.2,16.2,18.4,296.0,,1.2,763.0
12.6,9.79,4.57,656.0,,1.4,381.0
0.79,7.09,13.2,501.0,,2.8,178.0
4.58,19.6,40.2,356.0,,3.1,833.0
12.3,18.9,26.0,323.0,,2.6,838.0
13.2,9.14,16.6,202.0,,0.9,607.0
3.31,13.2,39.5,1210.0,,3.9,618.0
5.01,4.34,21.1,143.0,,1.3,288.0
14.9,18.4,22.9,1320.0,,2.1,838.0
0.18,0.43,16.8,67.0,,2.0,3.0
0.28,0.12,19.9,74.0,,2.6,26.0
1.32,0.58,93.5,346.0,,12.4,124.0
0.2,0.07,20.7,83.0,,1.9,19.0
0.22,0.07,15.3,57.0,,2.0,20.0
0.93,0.32,65.9,243.0,,8.7,87.0
0.29,0.33,12.0,47.0,,1.3,3.0
0.28,0.32,12.3,48.0,,1.3,3.0
0.148,0.162,15.7,,,2.08,1.01
0.133,0.15,14.8,,,2.11,0.279
0.266,0.138,14.1,,,2.51,0.0
0.102,0.1,14.7,,,1.72,0.138
0.2,0.18,15.2,63.0,,2.1,1.0
0.25,0.12,13.7,237.0,,2.3,1.0
0.28,0.15,13.6,238.0,,2.4,2.0
0.44,0.19,13.6,58.0,,2.8,1.0
0.27,0.2,14.1,59.0,,2.3,1.0
0.26,0.17,13.8,218.0,,2.4,1.0
0.27,0.13,12.8,48.0,,1.3,0.0
0.26,0.36,13.6,222.0,,2.4,1.0
0.28,0.42,14.4,234.0,,2.8,1.0
0.188,0.212,14.8,,,2.04,0.0
0.18,0.18,19.9,76.0,,1.2,28.0
0.16,0.17,17.5,283.0,,1.2,2.0
0.17,0.1,11.3,176.0,,1.1,2.0
0.17,0.1,11.3,42.0,,1.1,2.0
0.16,0.17,17.5,68.0,14.7,1.2,2.0
0.16,0.17,17.5,68.0,14.7,1.2,2.0
0.17,0.1,11.3,42.0,9.39,1.1,2.0
0.273,0.162,12.3,,,,0.504
0.17,0.45,13.6,56.0,12.8,0.1,8.0
0.17,0.45,13.6,56.0,,0.1,8.0
0.65,0.17,13.8,57.0,12.4,1.5,3.0
3.39,0.51,62.6,241.0,53.4,7.3,10.0
1.4,0.39,11.1,48.0,9.24,2.0,1.0
0.55,0.04,24.8,96.0,,1.6,13.0
0.6,0.1,12.5,49.0,,1.6,2.0
0.53,0.08,21.5,83.0,,1.6,4.0
0.51,0.09,21.4,83.0,,1.6,11.0
0.64,0.11,21.3,347.0,,2.7,4.0
0.63,0.04,12.3,48.0,,1.6,4.0
0.53,0.05,16.5,63.0,,1.6,4.0
0.71,0.16,6.39,27.0,,1.6,3.0
0.69,0.03,5.48,22.0,,1.1,11.0
1.93,0.24,32.6,126.0,,,5.0
4.9,0.62,82.9,320.0,,,13.0
1.17,0.15,29.3,113.0,,4.1,3.0
1.2,0.18,22.2,85.0,,2.6,4.0
3.39,0.51,62.6,1010.0,,7.3,10.0
0.7,0.1,25.1,98.0,,2.2,4.0
1.4,0.39,11.1,201.0,,2.0,1.0
15.2,10.3,22.2,242.0,,1.3,653.0
4.28,24.4,65.0,497.0,,2.0,270.0
3.02,22.6,61.2,460.0,,5.1,200.0
4.67,12.0,68.2,1670.0,,2.1,331.0
4.5,15.0,69.4,431.0,,2.6,384.0
4.41,17.1,64.8,430.0,,0.7,449.0
3.5,14.4,69.1,1760.0,,1.0,605.0
4.89,16.5,66.8,435.0,,2.0,377.0
4.25,12.1,69.4,1690.0,,1.2,577.0
5.48,14.1,68.2,421.0,,2.9,394.0
5.17,12.1,69.3,1700.0,,2.7,339.0
4.27,11.8,70.6,406.0,,1.1,561.0
5.17,17.6,72.2,1960.0,,1.8,471.0
9.0,24.3,58.5,480.0,,2.8,404.0
4.35,13.3,65.9,400.0,,2.2,334.0
4.67,11.1,76.2,424.0,,1.1,406.0
4.35,13.3,65.9,1680.0,,2.2,377.0
5.54,20.9,67.2,442.0,,1.9,308.0
5.66,14.0,30.5,267.0,3.25,2.4,399.0
28.1,4.34,0.0,159.0,0.0,0.0,367.0
4.49,0.1,16.1,78.0,,,254.0
4.49,0.1,16.1,78.0,,,18.0
5.33,0.29,20.2,99.0,,,22.0
0.3,0.1,88.2,357.0,,3.4,2.0
4.24,0.2,13.4,271.0,,1.3,26.0
3.65,33.1,5.47,331.0,2.08,0.9,601.0
2.88,0.34,11.9,53.0,0.99,5.7,176.0
2.88,0.34,11.9,53.0,0.99,5.7,176.0
2.89,0.34,12.0,53.0,0.99,5.7,60.0
2.89,0.34,11.4,51.0,,5.7,296.0
2.89,0.34,12.0,53.0,,5.7,60.0
3.11,0.5,9.18,188.0,,4.6,289.0
3.11,0.5,9.18,188.0,,4.6,53.0
2.63,0.43,7.75,38.0,,3.9,47.0
3.27,0.15,10.5,197.0,,5.4,94.0
2.81,2.88,11.6,74.0,0.96,5.5,179.0
5.34,5.94,22.2,160.0,2.13,3.9,403.0
4.7,8.7,77.4,407.0,,,760.0
2.58,0.66,3.65,105.0,,1.6,27.0
3.8,0.5,0.0,20.0,,,656.0
10.4,5.29,7.78,115.0,2.97,1.8,168.0
11.5,5.42,9.32,126.0,2.97,1.9,177.0
2.03,2.82,9.46,69.0,3.53,2.8,141.0
2.08,0.28,9.74,48.0,3.63,2.9,137.0
2.57,2.7,6.68,61.0,2.79,0.2,355.0
2.57,2.7,6.68,61.0,2.79,0.2,355.0
2.09,2.82,2.4,38.0,1.04,1.6,296.0
2.08,3.54,2.39,45.0,1.03,1.6,279.0
2.09,3.18,2.39,41.0,1.03,1.6,287.0
2.14,0.65,2.46,19.0,1.06,1.6,287.0
2.14,0.65,2.46,81.0,,1.6,287.0
1.8,0.18,2.48,62.0,,1.0,26.0
1.8,0.18,2.48,62.0,,1.0,284.0
2.4,0.22,4.11,94.0,,2.0,14.0
2.4,0.22,4.11,22.0,,2.0,240.0
2.31,2.48,4.05,42.0,1.97,2.2,141.0
2.29,3.25,4.04,49.0,1.96,2.2,123.0
2.3,2.86,4.04,45.0,1.96,2.2,132.0
2.36,0.13,4.16,21.0,2.02,2.3,127.0
2.87,2.59,1.87,37.0,0.32,1.5,132.0
2.86,3.31,1.86,44.0,0.31,1.5,115.0
2.95,0.42,1.92,74.0,,1.6,240.0
2.95,0.42,1.92,18.0,,1.6,3.0
2.86,2.95,1.86,40.0,0.32,1.5,124.0
2.94,0.42,1.91,18.0,0.32,1.6,119.0
3.23,0.23,4.1,24.0,,1.9,8.0
2.3,2.86,4.04,45.0,1.96,2.2,132.0
2.2,0.12,3.88,85.0,,2.1,2.0
2.2,0.12,3.88,20.0,1.88,2.1,2.0
,,,,,,
,,,,,,
1.9,43.3,7.36,427.0,6.67,0.1,867.0
2.0,14.7,8.53,160.0,0.66,6.7,7.0
2.0,14.7,8.53,160.0,0.66,6.7,7.0
2.0,14.7,8.53,160.0,,6.7,7.0
1.96,15.4,8.64,697.0,,6.8,8.0
2.23,10.1,7.82,120.0,,5.6,2.0
0.2,0.2,10.8,41.0,9.87,1.7,0.0
0.0,0.0,10.3,37.0,8.48,1.7,1.0
1.0,0.2,21.3,91.0,11.4,1.6,2.0
1.0,0.2,21.3,91.0,11.4,1.6,2.0
5.43,5.3,68.6,344.0,42.0,1.7,157.0
12.0,2.52,2.43,81.0,0.0,0.0,41.0
1.3,0.1,7.7,34.0,6.09,1.9,83.0
11.4,2.97,80.5,395.0,15.6,1.5,300.0
0.8,0.1,6.0,26.0,3.64,1.7,69.0
0.8,0.2,7.2,32.0,3.16,1.7,49.0
13.2,6.6,69.4,376.0,13.2,6.6,33.0
6.53,6.43,80.5,404.0,27.7,6.9,32.0
1.46,0.68,19.2,88.0,8.18,1.2,2.0
6.67,6.67,80.1,407.0,26.7,6.7,33.0
1.87,0.89,15.0,75.0,1.16,1.1,2.0
1.92,0.96,18.4,89.0,7.82,1.8,2.0
10.6,6.13,74.2,392.0,13.4,7.4,20.0
1.92,0.96,18.4,89.0,7.82,1.8,2.0
11.0,6.36,73.5,394.0,11.7,7.3,21.0
2.54,1.3,13.8,76.0,0.62,1.9,2.0
6.51,2.17,83.4,388.0,6.97,1.7,31.0
1.12,0.27,20.0,87.0,7.54,0.6,2.0
6.65,2.19,83.1,390.0,4.85,1.3,32.0
1.38,0.3,16.1,73.0,0.21,0.1,2.0
13.7,7.9,0.1,130.0,0.0,0.0,49.0
9.88,11.2,69.8,420.0,24.6,3.0,280.0
12.5,0.87,83.2,391.0,12.5,0.0,313.0
3.2,19.2,69.1,462.0,14.0,1.2,250.0
4.9,2.15,9.08,75.0,4.47,1.1,27.0
2.26,0.99,16.4,82.0,9.06,1.8,6.0
0.98,0.23,13.7,59.0,7.46,1.7,14.0
0.98,0.23,13.7,59.0,7.46,1.7,14.0
1.48,0.48,15.3,69.0,6.73,2.0,16.0
1.96,1.38,11.0,62.0,6.76,1.0,28.0
0.68,0.21,16.4,68.0,10.5,1.7,2.0
2.63,1.06,14.1,75.0,6.06,1.8,19.0
1.07,0.41,18.0,78.0,10.1,2.0,2.0
1.74,1.36,13.0,70.0,9.03,1.1,19.0
1.2,0.1,5.8,24.0,1.08,1.9,5.0
1.2,0.1,5.8,24.0,1.08,1.9,5.0
11.3,3.8,3.7,97.0,0.0,0.0,44.0
0.0,0.1,11.7,47.0,10.7,0.1,8.0
0.3,0.1,11.4,47.0,9.6,0.5,5.0
1.45,1.11,12.4,64.0,8.76,1.0,15.0
0.0,0.0,15.4,62.0,15.3,0.0,10.0
0.0,0.1,11.7,47.0,10.7,0.1,8.0
0.0,0.1,11.7,47.0,10.7,0.1,8.0
0.0,0.0,11.9,43.0,7.28,0.1,8.0
0.82,0.38,15.0,60.0,13.7,1.6,1.0
13.7,14.2,1.4,188.0,1.4,0.2,295.0
12.6,5.99,1.25,112.0,0.0,0.0,47.0
0.68,0.21,16.4,68.0,10.5,1.7,2.0
0.68,0.21,16.4,68.0,10.5,1.7,2.0
1.44,0.25,9.56,44.0,2.92,1.6,32.0
1.44,0.25,9.56,44.0,2.92,1.6,32.0
0.94,0.33,14.5,65.0,11.5,1.3,4.0
0.94,0.33,14.5,65.0,11.5,1.3,4.0
0.3,0.2,10.8,42.0,6.98,2.8,1.0
0.3,0.1,11.6,44.0,7.34,2.8,1.0
3.27,0.43,8.36,50.0,2.01,2.0,5.0
3.27,0.43,8.36,50.0,2.01,2.0,5.0
1.0,0.2,23.5,100.0,14.3,2.7,1.0
1.76,0.98,17.6,86.0,12.2,0.2,26.0
6.19,2.3,85.8,344.0,17.8,3.8,13.0
6.19,2.3,85.8,344.0,17.8,3.8,13.0
7.34,3.29,83.4,359.0,18.2,3.4,83.0
0.81,0.2,5.73,28.0,3.37,0.9,5.0
0.81,0.2,5.73,24.0,3.24,0.9,5.0
1.1,0.1,13.2,57.0,4.05,1.5,22.0
1.1,0.1,14.0,60.0,4.24,1.5,18.0
11.5,6.2,1.4,111.0,0.0,0.0,49.0
1.44,0.25,9.56,44.0,2.92,1.6,32.0
2.95,1.08,11.2,64.0,2.81,1.8,32.0
1.84,0.5,12.0,58.0,3.1,1.9,31.0
10.0,6.41,78.9,413.0,10.0,0.0,350.0
14.3,4.0,71.8,380.0,57.1,2.3,286.0
3.47,3.25,4.66,61.0,4.66,0.0,46.0
3.16,2.93,11.1,83.0,9.04,0.1,45.0
0.8,1.6,19.5,93.0,,0.5,20.0
0.2,0.1,12.3,213.0,,0.2,4.0
2.6,0.9,10.9,62.0,,1.8,9.0
0.19,0.36,11.6,50.0,,1.9,2.0
12.5,0.87,83.2,391.0,,0.0,313.0
6.4,9.9,76.7,1760.0,,2.3,0.0
0.3,0.2,16.3,285.0,,1.0,7.0
2.5,0.8,17.5,86.0,,0.4,37.0
1.0,0.2,21.3,381.0,,1.6,2.0
1.01,0.36,21.3,92.0,,1.0,0.0
0.0,0.0,7.35,123.0,,0.0,11.0
3.4,2.5,5.7,59.0,,2.6,69.0
0.6,0.3,5.23,21.0,,2.3,48.0
13.2,6.6,69.4,1570.0,,6.6,33.0
3.73,3.26,9.94,352.0,,0.6,43.0
8.7,3.0,86.0,1700.0,,6.5,12.0
2.5,5.0,6.2,79.0,,0.9,48.0
8.7,3.8,11.6,111.0,,,49.0
25.4,6.5,57.6,374.0,,7.1,104.0
6.9,3.9,13.4,112.0,,,58.0
6.66,6.66,78.2,1670.0,,6.7,33.0
4.14,3.38,12.3,96.0,,0.8,42.0
0.71,0.51,18.8,350.0,,1.0,5.0
0.71,0.51,18.4,82.0,,1.0,5.0
10.7,4.6,77.1,391.0,,7.8,0.0
3.82,3.46,10.0,86.0,,0.4,48.0
5.0,3.6,15.9,115.0,,,48.0
11.0,6.36,73.5,394.0,,7.3,21.0
10.9,6.42,73.6,1660.0,,7.0,23.0
5.0,4.1,15.3,116.0,,1.1,46.0
0.89,0.89,16.0,319.0,,0.9,4.0
0.89,0.89,15.6,75.0,,0.9,4.0
6.67,6.67,78.1,1670.0,,5.2,33.0
3.82,3.46,10.0,362.0,,0.4,48.0
13.5,7.0,69.3,391.0,,,47.0
5.0,3.9,15.3,115.0,,,49.0
6.6,0.9,88.5,389.0,,2.6,2.0
6.65,2.19,83.1,1630.0,,1.3,32.0
3.45,3.38,10.3,85.0,,0.0,42.0
1.2,0.4,17.1,334.0,,1.0,4.0
8.7,4.2,79.9,404.0,,1.0,0.0
3.57,3.32,10.5,360.0,,0.1,47.0
3.9,3.3,17.1,115.0,,,49.0
6.6,4.8,83.2,1680.0,,6.7,66.0
1.9,1.8,7.1,52.0,,0.9,33.0
1.9,1.8,7.0,51.0,,0.9,33.0
2.2,1.5,8.0,58.0,,,38.0
0.3,0.1,19.2,326.0,,0.2,0.0
6.8,12.6,73.7,435.0,,3.4,9.0
11.8,13.2,67.1,433.0,,0.2,300.0
7.6,10.0,75.4,424.0,,0.2,319.0
1.26,0.28,15.2,287.0,,1.8,14.0
8.4,19.6,66.8,2000.0,,4.0,633.0
1.0,0.8,14.1,284.0,,0.8,54.0
1.1,0.52,17.4,78.0,,0.5,14.0
0.5,0.7,17.0,77.0,,0.4,14.0
0.2,0.2,18.4,69.0,,0.3,0.0
0.2,0.3,17.8,68.0,,0.3,0.0
1.76,0.98,17.6,86.0,,0.2,26.0
1.6,2.0,16.0,85.0,,0.0,0.0
0.2,0.16,19.2,330.0,,1.4,3.0
0.2,0.4,19.7,75.0,,1.4,0.0
0.3,0.0,17.2,63.0,,0.6,0.0
0.3,0.0,16.0,59.0,,0.6,0.0
1.1,0.9,17.7,80.0,,0.6,20.0
1.3,0.3,20.3,81.0,,0.7,0.0
0.3,0.0,18.3,67.0,,0.7,0.0
0.3,0.0,17.8,65.0,,0.7,7.0
0.3,0.0,16.4,60.0,,,9.0
0.2,0.0,16.5,60.0,,,9.0
0.9,0.18,17.6,77.0,,0.4,14.0
0.2,0.0,16.4,60.0,,,7.0
2.16,1.38,10.9,65.0,,1.8,12.0
5.0,2.9,8.8,82.0,,,32.0
4.2,2.1,10.0,77.0,,,41.0
2.5,1.9,7.3,57.0,,1.1,26.0
2.44,2.26,8.18,63.0,,1.3,15.0
2.03,6.93,6.36,96.0,,1.8,38.0
3.59,2.48,6.34,259.0,,1.4,17.0
1.6,0.9,9.2,51.0,,1.1,25.0
3.53,3.23,7.8,311.0,,1.7,25.0
3.53,3.22,7.81,74.0,,1.7,25.0
1.6,1.7,7.2,50.0,,1.1,16.0
5.2,3.7,6.4,78.0,,0.6,25.0
2.6,2.0,8.2,61.0,,0.3,183.0
3.14,2.11,8.95,67.0,,0.7,88.0
2.5,1.1,9.4,59.0,,1.1,35.0
2.36,1.47,9.45,61.0,,1.2,38.0
4.34,1.9,11.5,82.0,,1.1,35.0
1.01,0.11,7.88,142.0,,1.0,40.0
1.2,0.1,9.5,41.0,,,38.0
1.7,2.1,8.4,60.0,,1.5,11.0
2.57,1.37,11.4,285.0,,1.1,30.0
5.3,1.0,10.8,75.0,,,239.0
2.51,2.17,11.0,310.0,,1.3,22.0
2.37,0.92,9.57,56.0,,1.0,23.0
2.27,1.24,7.94,52.0,,0.9,19.0
3.8,1.6,7.5,60.0,,0.8,176.0
2.21,3.6,8.84,321.0,,1.3,31.0
2.21,3.6,8.84,321.0,,1.3,31.0
2.04,1.12,8.66,53.0,,1.1,34.0
2.1,0.8,8.0,48.0,,,52.0
2.0,0.9,7.7,48.0,,,49.0
2.1,1.7,7.1,51.0,,1.1,13.0
1.8,1.5,7.6,52.0,,1.1,17.0
1.2,1.2,6.8,44.0,,1.1,21.0
1.72,1.74,7.55,53.0,,0.9,45.0
2.32,0.9,7.62,48.0,,1.5,20.0
2.47,1.73,8.42,59.0,,2.1,24.0
1.7,2.2,9.1,64.0,,1.1,26.0
2.0,2.5,7.9,63.0,,1.1,20.0
6.19,2.3,85.8,1440.0,,3.8,13.0
5.43,5.3,68.6,1440.0,,1.7,157.0
0.3,0.22,15.3,269.0,,1.4,3.0
0.3,0.2,19.0,293.0,,1.1,4.0
0.5,0.2,17.2,303.0,,2.0,1.0
0.2,0.2,16.6,62.0,,1.8,1.0
0.2,0.2,16.3,61.0,,1.8,1.0
0.2,0.2,15.4,58.0,,2.1,0.0
0.2,0.2,15.6,58.0,,2.1,0.0
0.2,0.2,12.4,47.0,,1.8,0.0
0.2,0.2,11.6,185.0,,1.8,0.0
0.0,0.0,14.1,51.0,,1.1,1.0
0.0,0.0,14.1,213.0,,1.1,1.0
0.1,0.1,10.5,39.0,,1.5,2.0
0.1,0.1,10.1,37.0,,1.5,2.0
0.37,0.1,16.2,66.0,,1.6,3.0
0.0,0.0,10.3,37.0,,1.7,1.0
0.2,0.2,10.8,41.0,,1.7,0.0
0.3,0.0,17.3,63.0,,1.5,0.0
0.3,0.0,16.3,60.0,,1.5,0.0
0.71,0.37,25.8,109.0,,1.4,1.0
0.2,0.1,18.4,68.0,,1.6,0.0
0.2,0.0,17.8,65.0,,1.6,0.0
0.9,0.22,19.3,83.0,,1.4,2.0
0.4,0.2,17.8,67.0,,1.6,0.0
0.4,0.1,15.3,56.0,,1.6,0.0
0.2,0.1,17.0,63.0,,,4.0
0.2,0.1,18.9,70.0,,1.4,5.0
0.94,0.33,14.5,271.0,,1.3,4.0
0.94,0.33,14.5,65.0,,1.3,4.0
0.3,0.2,11.4,44.0,,2.6,0.0
0.3,0.1,10.9,41.0,,2.6,0.0
0.3,0.1,11.6,44.0,,2.8,1.0
0.3,0.2,10.8,42.0,,2.8,1.0
0.1,0.0,20.5,310.0,,1.2,0.0
0.1,0.0,19.7,71.0,,1.2,0.0
0.6,0.1,18.7,70.0,,2.7,2.0
0.6,0.1,18.5,69.0,,2.7,5.0
0.4,0.4,16.0,290.0,,0.4,17.0
0.4,0.3,15.5,66.0,,0.6,25.0
1.1,0.0,14.8,266.0,,1.2,20.0
0.47,0.0,12.9,48.0,,2.0,2.0
1.06,0.0,20.4,287.0,,2.1,10.0
7.97,9.27,72.5,1700.0,,5.9,259.0
0.0,0.0,15.4,257.0,,0.0,10.0
4.1,1.5,5.35,215.0,,1.4,11.0
1.2,0.2,5.7,123.0,,1.3,37.0
0.0,0.02,86.7,1450.0,,0.0,89.0
0.0,0.1,11.7,47.0,,0.1,8.0
0.2,0.1,11.2,47.0,,0.3,4.0
0.1,0.2,11.3,46.0,,0.1,0.0
0.2,0.1,10.5,43.0,,0.1,0.0
0.2,0.1,18.1,72.0,,0.1,8.0
0.06,0.1,11.1,191.0,,0.4,3.0
0.3,0.1,11.4,47.0,,0.5,5.0
0.2,0.1,12.7,52.0,,0.4,4.0
0.1,0.1,11.7,197.0,,0.1,8.0
0.6,0.3,10.2,186.0,,0.1,0.0
0.4,0.2,10.1,43.0,,,3.0
0.4,0.1,11.5,47.0,,0.1,0.0
0.8,0.1,10.9,46.0,,0.1,6.0
0.7,0.1,11.9,50.0,,,3.0
0.5,0.1,11.7,48.0,,0.1,2.0
0.5,0.1,9.9,43.0,,0.4,10.0
0.0,0.0,11.9,43.0,,0.1,8.0
0.6,0.3,16.8,70.0,,,2.0
3.5,2.6,11.2,82.0,,0.5,264.0
1.11,1.47,7.47,48.0,,1.2,176.0
3.5,2.1,8.72,288.0,,1.8,26.0
12.0,2.52,2.43,81.0,,0.0,41.0
